Feature,Smell,Spearman_rho,p_value,Significance (Bonferroni)
refactorizable_Truth.Value.Test_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,0.054850100633881974,0.3413302494640085,
PY_Call.Star_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.05483229917236847,0.34148719619781054,
PY_Chain.Compare_norm,ML_Specific_Code_Smell_in_place_apis_misused,0.05481812306471529,0.34161221283524945,
refactorizable_Assign.Multi.Targets_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,0.05391188474958761,0.3496646073222135,
refactorizable_For.Else_norm,smell_long message chain,0.05364523742075431,0.3520565462551667,
refactorizable_Truth.Value.Test_norm,smell_long message chain,0.053306895786843736,0.35510641267017673,
PY_For.Multi.Targets_norm,smell_long parameter list,-0.050883156569229746,0.37743688582854296,
PY_Set.Comprehension_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,-0.050826572390654495,0.3779682896979524,
PY_For.Else_norm,smell_long identifier,0.04958738894159476,0.38972065531114153,
PY_Call.Star_norm,smell_long message chain,0.04954504325038706,0.39012612855860396,
PY_For.Multi.Targets_norm,smell_long identifier,-0.049307916670827526,0.3924014013186137,
PY_For.Multi.Targets_norm,smell_long method,-0.049155324040356406,0.3938697800018143,
PY_Assign.Multi.Targets_norm,smell_long identifier,-0.048353475367660846,0.4016401070165194,
refactorizable_List.Comprehension_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,-0.04745179190084294,0.41048634287800856,
refactorizable_Set.Comprehension_norm,smell_long parameter list,0.047077869824404525,0.41418834400879745,
refactorizable_Call.Star_norm,smell_empty catch block,0.04692952162628881,0.41566248758761426,
PY_Call.Star_norm,smell_empty catch block,0.0462786545322431,0.4221665256042647,
refactorizable_For.Multi.Targets_norm,ML_Specific_Code_Smell_in_place_apis_misused,0.04609126247697631,0.42405005834033094,
PY_Dict.Comprehension_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,0.045566890048087595,0.429346594947177,
PY_Truth.Value.Test_norm,smell_magic number,0.045181324486944764,0.4332653701245245,
PY_Truth.Value.Test_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,0.044220420930751216,0.4431207978508609,
refactorizable_Truth.Value.Test_norm,smell_long lambda function,-0.04403468586637141,0.4450403707313262,
PY_Truth.Value.Test_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,0.04369703374938957,0.4485420631105752,
refactorizable_Dict.Comprehension_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.04337046358945192,0.4519435846679185,
PY_Set.Comprehension_norm,smell_long parameter list,0.04286765002090314,0.4572090995773863,
refactorizable_Chain.Compare_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,0.042579928691583405,0.4602375008562234,
PY_For.Else_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,-0.042182538052933025,0.4644385239401264,
refactorizable_Dict.Comprehension_norm,smell_long parameter list,0.041982954471826636,0.46655640891587713,
PY_Call.Star_norm,smell_long identifier,-0.04189432818752471,0.4674985755102531,
refactorizable_Dict.Comprehension_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,-0.04177212307141006,0.4687994305367049,
refactorizable_Assign.Multi.Targets_norm,ML_Specific_Code_Smell_in_place_apis_misused,0.0409667450692521,0.47742221202268753,
PY_List.Comprehension_norm,smell_long method,0.039452793448349725,0.4938624281524887,
PY_Call.Star_norm,smell_complex method,0.03906030333507576,0.4981732112732571,
PY_List.Comprehension_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,-0.03881934832495159,0.5008294932361599,
refactorizable_List.Comprehension_norm,ML_Specific_Code_Smell_tensor_array_not_used,0.037884072944633584,0.5112102969675144,
refactorizable_Call.Star_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,0.03772417071819481,0.5129962091456934,
PY_For.Multi.Targets_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,-0.037521452306718994,0.5152649658150503,
PY_List.Comprehension_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.0374774273405355,0.5157583627755056,
refactorizable_List.Comprehension_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.037316646088407505,0.5175623415992362,
PY_For.Else_norm,smell_long lambda function,0.037314645840186254,0.5175848049930638,
refactorizable_For.Multi.Targets_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,0.0371401461220362,0.5195464202141398,
PY_For.Multi.Targets_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.0366173006093168,0.5254466867975225,
PY_For.Else_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,-0.036492735744159135,0.5268574044441467,
refactorizable_For.Else_norm,ML_Specific_Code_Smell_in_place_apis_misused,0.03593957857854146,0.5331451548994199,
refactorizable_Call.Star_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,0.035884489739311555,0.5337734120799671,
PY_Truth.Value.Test_norm,smell_long identifier,-0.03568156378191244,0.5360908740199901,
PY_For.Multi.Targets_norm,ML_Specific_Code_Smell_in_place_apis_misused,-0.03528042840599468,0.5406867132093931,
PY_Set.Comprehension_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,-0.035172004340769364,0.5419322918744482,
PY_List.Comprehension_norm,smell_long lambda function,0.035135680318421694,0.5423499015692244,
refactorizable_List.Comprehension_norm,smell_long lambda function,0.03493280287505916,0.5446852730333872,
refactorizable_Set.Comprehension_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.034690661299505154,0.5474791147444749,
refactorizable_Assign.Multi.Targets_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.0346363390504979,0.5481068547735692,
refactorizable_For.Else_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,-0.034348584903939036,0.5514379901953934,
PY_Assign.Multi.Targets_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.034315560957778025,0.5518209185374536,
refactorizable_Dict.Comprehension_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,-0.0332603201303001,0.5641248966370861,
PY_Truth.Value.Test_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.03325609433569811,0.5641744319501543,
PY_For.Else_norm,smell_magic number,-0.03320678461797742,0.5647526008398319,
PY_Chain.Compare_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.03270575810584739,0.5706432857700865,
refactorizable_Set.Comprehension_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,0.030854898857430393,0.5926529934408062,
refactorizable_For.Else_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.030545544753585088,0.5963691610780308,
PY_Dict.Comprehension_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.029611238630842387,0.6076562421870018,
refactorizable_Truth.Value.Test_norm,smell_long method,0.02842636802456757,0.6221049940690372,
PY_List.Comprehension_norm,ML_Specific_Code_Smell_in_place_apis_misused,0.027908801167687472,0.6284625994679327,
refactorizable_Set.Comprehension_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,0.02734985673973365,0.6353593896716088,
refactorizable_Chain.Compare_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.02584027634959321,0.6541426131755643,
